5 trees 	10 trees	15 trees	18 trees	20  trees	25 trees	28 trees	29 trees	30 trees	31 trees	32 trees	35 trees	50 trees	100 trees
0.307256381	0.314814402	0.31952168	0.318152106	0.319902117	0.321667346	0.321439084	0.322539816	0.323336198	0.322068074	0.321449229	0.322509381	0.321773869	0.317756451
0.314732772	0.331127083	0.335395151	0.340310363	0.340639071	0.339534818	0.340012472	0.340515806	0.340146009	0.339057164	0.336797296	0.337346855	0.334563109	0.311938754
0.301690177	0.315937952	0.323960872	0.327288561	0.329891958	0.327926748	0.329856503	0.330996123	0.331684959	0.331948338	0.33360965	0.33562551	0.327815318	0.322167871
0.314412497	0.32642136	0.336644916	0.336451635	0.338842218	0.34113616	0.340429158	0.340139236	0.341120901	0.339010067	0.340678389	0.340291827	0.333638886	0.309885648
0.295864172	0.312284036	0.31611176	0.315207211	0.315416739	0.316546148	0.317271831	0.316740345	0.316541037	0.314915916	0.312820633	0.313209027	0.3078635	0.298450058
0.295119875	0.30810191	0.313456683	0.316078396	0.316321335	0.316736355	0.319712354	0.319970476	0.320102068	0.319454232	0.318528028	0.317313335	0.310146644	0.298956281
0.298741811	0.321491175	0.326681066	0.330650409	0.329317038	0.331065805	0.332245326	0.33245046	0.332819701	0.332168401	0.333076119	0.332753033	0.327029793	0.311562688
0.301494253	0.311975349	0.316814719	0.317364762	0.319585119	0.318177211	0.317586798	0.316522035	0.316204121	0.316572498	0.315588476	0.313998902	0.309936657	0.299642273
0.310763077	0.318026058	0.321034935	0.323967573	0.325334782	0.322061612	0.322300493	0.322366566	0.322127686	0.321893888	0.320369119	0.318076884	0.309878712	0.302132887
0.31555899	0.330035619	0.335513262	0.338216514	0.339166718	0.342149442	0.343912653	0.345177897	0.345279523	0.34534558	0.346560011	0.347947207	0.347627085	0.333704318
0.301197224	0.316844954	0.322629688	0.323228984	0.326118812	0.325930897	0.324148244	0.32408222	0.324066983	0.32362005	0.322594136	0.324879589	0.321476804	0.308602089
0.324611826	0.335671803	0.345160472	0.346625336	0.344440711	0.344557292	0.345444321	0.344871554	0.343969319	0.343700676	0.343822326	0.341617427	0.338915792	0.320526427
0.299207418	0.309808773	0.317264446	0.319930105	0.319552215	0.322085101	0.324505642	0.326461479	0.328264118	0.326696384	0.325797618	0.326609572	0.320297782	0.308322745
0.304473039	0.319475763	0.328917221	0.33447341	0.332711072	0.33421947	0.333056429	0.332289533	0.333584623	0.334712112	0.334940658	0.334214392	0.334432779	0.318617449
0.314338207	0.3218258	0.328072162	0.328423928	0.326107297	0.329514403	0.3278209	0.327604815	0.326926409	0.325830909	0.326403785	0.325805783	0.315644767	0.304348049
0.314197362	0.328977296	0.33728659	0.336786517	0.339428316	0.343610745	0.344141125	0.345656498	0.348434681	0.345767625	0.346308108	0.345954521	0.335796473	0.316637112
0.30763335	0.32217702	0.324066472	0.324903959	0.321048456	0.321579545	0.32140592	0.321554012	0.321477413	0.321206762	0.320747165	0.319598174	0.311723757	0.302424592
0.298480751	0.31509333	0.317200217	0.32114621	0.321797981	0.315942148	0.31606846	0.315522791	0.315815835	0.315244904	0.314679026	0.313006652	0.304179957	0.295252211
0.305371414	0.316124607	0.323290024	0.326502806	0.325377825	0.329730791	0.332061832	0.332350678	0.332092236	0.331995954	0.331544949	0.331778053	0.324060281	0.311224354
0.310067212	0.326008394	0.335846613	0.339183852	0.341464808	0.341015761	0.341643407	0.342347595	0.343016063	0.343587578	0.344041728	0.342515987	0.336060931	0.33041212
0.326675741	0.339187454	0.343195622	0.346118872	0.34776634	0.349393716	0.348695552	0.347660862	0.348901485	0.347992364	0.349067236	0.350980911	0.346098781	0.332341422
0.314346957	0.32102696	0.324480182	0.317281252	0.317960575	0.318705942	0.319083343	0.319385264	0.320224982	0.319319219	0.318432326	0.314648878	0.303808027	0.295712769
